District of Usual Residency,Marriage,Employment,Education,Displacement,Resettlement after Displacement,Development Projects,Requirement of a Family Member,Other
Colombo,22.8,42.8,10.5,0.9,0.2,0.1,17.2,5.6
Gampaha,29.2,30.6,4.3,1.1,0.4,0.4,21.5,12.5
Kalutara,36.8,13.7,3.5,1.6,1.4,0.5,22.4,20.1
Kandy,42.1,14.5,10.7,1.2,0.3,0.4,19.9,10.9
Matale,46.8,12.5,3.2,2.1,0.4,2,23,9.9
Nuwara Eliya,47.5,17.9,4.7,6.9,0.7,0.6,16.5,5.2
Galle,47,14.4,6.3,1.1,0.3,0.2,19.1,11.7
Matara,49.5,10.2,7.8,1.3,0.2,0.1,19.5,11.4
Hambantota,45.1,13,2.8,1.2,0.4,3.8,19.3,14.4
Jaffna,3.6,3.9,4.3,7.6,70.1,0.2,7.7,2.6
Mannar,5.4,10.1,2.2,9.3,66,0.2,6,0.9
Vavuniya,7.3,10.4,2.8,36.9,28.5,1.7,10.3,2
Mullaitivu,1.2,3.6,0.7,0.5,88.3,2,3.5,0.2
Kilinochchi,0.6,2.1,0.5,0.3,95.6,0.1,0.7,0.2
Batticaloa,24.2,21.8,13.9,16.5,3.1,0.1,16.6,3.9
Ampara,26.3,13.7,5.1,3.7,1.6,20.4,21.8,7.4
Trincomalee,19.7,15,3.3,4.7,33.2,3.4,17.3,3.4
Kurunegala,45.6,12.5,4.6,1.3,0.3,0.8,20.4,14.5
Puttalam,30.8,16.2,3,17.6,1.2,1.4,21.7,8.1
Anuradhapura,36.3,14,3.6,3.4,0.8,8.1,24.1,9.6
Polonnaruwa,31.1,11.9,1.7,1.7,0.8,17.6,25.5,9.7
Badulla,42.6,16.5,6.7,1.5,0.4,1.5,20.5,10.2
Monaragala,40.4,18.9,2.1,1.6,0.7,4.8,25,6.6
Ratnapura,44.7,17,4.4,1,0.4,1.6,23,8
Kegalle,53.3,10.3,3.9,0.9,0.3,0.2,17.3,13.8
